id    source    dictionary_en_id    reason_code
214    "how is it going"    130494    heuristic
215    "what did you do today"    130495    heuristic
216    "thirty one"    57284    heuristic
217    "the news"    33313    heuristic
218    "it's raining"    130588    heuristic
219    sandwhich    41382    misspelling
220    "i miss you"    58283    heuristic
221    where    49906    heuristic
222    "flip flops"    52422    heuristic
223    who    49997    heuristic
224    "thats good"    130837    misspelling
225    "sun glasses"    45119    misspelling
226    "what do you want to do"    130514    heuristic
227    "happy birthday to you"    58280    heuristic
228    "good morning"    58278    heuristic
229    "book store"    6531    misspelling
230    "board games"    6336    heuristic
231    "father in law"    19737    heuristic
232    "television show"    130744    heuristic
233    "the class"    9918    heuristic
234    "african american"    118706    heuristic
235    how    25094    heuristic
236    "to take a shower"    130651    heuristic
237    "who are you"    130367    heuristic
238    "the problem"    38078    heuristic
239    "the food"    20907    heuristic
240    resturant    40413    misspelling
241    "a place"    36938    heuristic
242    vegtables    49052    misspelling
243    "happy mother's day"    130903    heuristic
244    "where you from"    130291    heuristic
245    "what's wrong"    130508    heuristic
246    coffe    10408    misspelling
247    "you welcome"    58301    heuristic
248    "the store"    44615    heuristic
249    videogames    130538    heuristic
250    refridgerator    39856    misspelling
251    "what happened"    130343    heuristic
252    seperate    42149    misspelling
253    "shopping mall"    30585    heuristic
254    "the ocean"    34051    heuristic
255    "happy father's day"    131073    heuristic
256    recieved    39514    misspelling
257    "vice president"    57837    heuristic
258    "the trip"    47069    heuristic
259    febuary    19840    misspelling
260    "listening to music"    130680    heuristic
261    "the car"    8213    heuristic
262    "the man"    30629    heuristic
263    "the movie"    32569    heuristic
264    hi    53237    heuristic
265    "air conditioning"    1360    heuristic
266    celebrities    8792    heuristic
267    "i miss u"    58283    misspelling
268    beatiful    5187    misspelling
269    "the worst"    50312    heuristic
270    you    50514    heuristic
271    wich    49930    misspelling
272    embarassed    17478    misspelling
273    "suck my dick"    45002    heuristic
274    "male teacher"    45789    heuristic
275    "female teacher"    45789    heuristic
276    "suck my ass"    45002    heuristic
277    "i would"    50323    heuristic
278    "we will"    50063    heuristic
279    "i got"    22364    heuristic
280    "i feel"    19877    heuristic
281    "did not"    16047    heuristic
282    "the date"    13562    heuristic
283    nigga    33370    heuristic
284    "went to"    22713    heuristic
285    "sugar skulls"    131170    heuristic
286    "found out"    131171    heuristic
287    "school supplies"    131175    heuristic
288    "watch movies"    131176    heuristic
289    "fuck me"    52588    heuristic
290    "to watch tv"    130586    heuristic
291    "to do homework"    131161    heuristic
292    "to go fishing"    131177    heuristic
293    really?    39434    heuristic
294    "student desk"    14622    heuristic
295    "had to"    130575    heuristic
296    "would have"    50323    heuristic
297    "i know"    28697    heuristic
298    "the book"    6503    heuristic
299    "i get"    22364    heuristic
300    "will have"    23944    heuristic
301    "i say"    41531    heuristic
302    "the teacher"    45789    heuristic
303    "you will"    50063    heuristic
304    goodnight    58295    heuristic
305    "fuck you"    52588    heuristic
306    i'm    5097    heuristic
307    "i am"    5097    heuristic
308    "i hope"    24886    heuristic
309    "i agree"    1261    heuristic
310    "video games"    130538    heuristic
311    goes    22713    heuristic
312    "i go"    22713    heuristic
313    "i see"    41966    heuristic
314    having    23944    heuristic
315    "i wish"    50144    heuristic
316    "i can"    7992    heuristic
317    "she is"    5097    heuristic
318    tried    47217    heuristic
319    "i eat"    17024    heuristic
320    caught    8598    heuristic
321    "would be"    5097    heuristic
322    "i need"    33150    heuristic
323    "we have"    23944    heuristic
324    ran    41095    heuristic
325    lives    29819    heuristic
326    "we went"    22713    heuristic
327    taught    45786    heuristic
328    im    5097    heuristic
329    "you are welcome"    58301    heuristic
330    "they were"    5097    heuristic
331    "i read"    39402    heuristic
332    "i wake up"    57881    heuristic
333    "you can"    7992    heuristic
334    seen    41966    heuristic
335    sent    42087    heuristic
336    sold    42046    heuristic
337    "he was"    5097    heuristic
338    ar    5097    misspelling
339    leaving    29255    heuristic
340    "you have"    23944    heuristic
341    won    50075    heuristic
342    gone    22713    heuristic
343    became    5209    heuristic
344    leyendo    29290    heuristic
345    "are you"    5097    heuristic
346    looking    29990    heuristic
347    "i have"    23944    heuristic
348    "miss you"    58283    heuristic
349    ate    17024    heuristic
350    men    30629    heuristic
351    teen-ager    57205    heuristic
352    "i did"    16047    heuristic
353    "United States"    48212    heuristic
354    "i love"    30096    heuristic
355    told    45869    heuristic
356    "i would like"    29624    heuristic
357    is    5097    heuristic
358    are    5097    heuristic
359    was    5097    heuristic
360    were    5097    heuristic
361    "to be"    5097    heuristic
362    does    16047    heuristic
363    forgot    21144    heuristic
364    needs    33150    heuristic
365    "I thought"    46172    heuristic
366    loved    30096    heuristic
367    "i get dressed"    16548    heuristic
368    sat    42899    heuristic
369    knew    28697    heuristic
370    got    22364    heuristic
371    "you are"    5097    heuristic
372    "it has"    23944    heuristic
373    "has been"    5097    heuristic
374    "you should"    42615    heuristic
375    "they have"    23944    heuristic
376    chose    9514    heuristic
377    works    50275    heuristic
378    drove    16583    heuristic
379    "to the"    46499    heuristic
380    "i went to"    22713    heuristic
381    cards    8264    heuristic
382    didn't    16047    heuristic
383    provided    38426    heuristic
384    "have been"    5097    heuristic
385    lying    29537    heuristic
386    bananas    4728    heuristic
387    "it is"    5097    heuristic
388    "there are"    58323    heuristic
389    it's    5097    heuristic
390    "love you"    58275    heuristic
391    doing    16047    heuristic
392    "i will"    50063    heuristic
393    took    45598    heuristic
394    you're    5097    heuristic
395    had    23944    heuristic
396    did    16047    heuristic
397    getting    22364    heuristic
398    walking    49587    heuristic
399    "we are"    5097    heuristic
400    held    24713    heuristic
401    "i want"    49626    heuristic
402    dancing    13477    heuristic
403    "i understand"    47849    heuristic
404    playing    37032    heuristic
405    wearing    49772    heuristic
406    thinking    46172    heuristic
407    been    5097    heuristic
408    came    10703    heuristic
409    an    3    heuristic
410    "i like"    29624    heuristic
411    "i think"    46172    heuristic
412    teeth    46595    heuristic
413    movies    32569    heuristic
414    "he is"    5097    heuristic
415    began    5338    heuristic
417    "i saw"    41966    heuristic
418    "i prefer"    37760    heuristic
419    "i ate"    17024    heuristic
420    "he said"    41531    heuristic
421    "he has"    23944    heuristic
422    blonde    6197    heuristic
423    afterwards    1149    heuristic
424    "french fry"    58364    heuristic
425    dont    58303    heuristic
427    "green bean"    130470    heuristic
428    arr    5097    heuristic
429    "the end"    17743    heuristic
430    crying    13016    heuristic
431    leaves    29255    heuristic
432    company/privacy    38043    heuristic
433    "it was"    5097    heuristic
435    "twenty one"    57505    heuristic
436    "gall bladder"    21952    heuristic
437    "going to"    122562    heuristic
438    faster    19706    heuristic
439    "I was born"    130602    heuristic
440    according    50649    heuristic
441    wore    49772    heuristic
442    "I forgot"    21144    heuristic
443    "I said"    41531    heuristic
444    boots    6548    heuristic
445    brought    7052    heuristic
446    gave    22485    heuristic
447    bought    7633    heuristic
448    er    131147    heuristic
449    \    50947    heuristic
450    "i like to"    29624    heuristic
451    "on Saturday"    41471    heuristic
452    "to turn on"    57488    heuristic
453    visited    49388    heuristic
454    roots    40925    heuristic
455    "to eat lunch"    131214    heuristic
456    "the best"    5609    heuristic
457    "good bye"    52844    heuristic
458    "I played"    37032    heuristic
459    "I also"    1858    heuristic
460    "he likes"    29624    heuristic
461    "i live"    29819    heuristic
462    "do you like"    29624    heuristic
463    "which is"    49930    heuristic
464    "she likes"    29624    heuristic
465    "can be"    7992    heuristic
466    fought    20175    heuristic
467    "i take a shower"    130651    heuristic
468    "give me"    22485    heuristic
469    "i believe"    5411    heuristic
470    "i am going to"    22713    heuristic
471    "we go"    22713    heuristic
472    "we saw"    41966    heuristic
473    stood    44223    heuristic
474    drank    16572    heuristic
475    honduras    53345    heuristic
476    paris    55039    heuristic
477    "what do you mean"    130336    heuristic
478    russia    41144    heuristic
479    "what do you do"    130359    heuristic
480    "i want to"    49626    heuristic
481    "i have been"    5097    heuristic
482    "my favorite"    19790    heuristic
483    "we ate"    17024    heuristic
484    "good looking"    22855    heuristic
485    that's    130587    heuristic
486    stole    44366    heuristic
487    developed    14788    heuristic
488    members    31284    heuristic
489    "he was born"    130602    heuristic
490    "i sleep"    43080    heuristic
491    spoke    43767    heuristic
492    "twenty five"    130569    heuristic
493    "does not"    16047    heuristic
494    brazil    6827    heuristic
495    failed    19487    heuristic
496    couldn't    12313    heuristic
497    matthew    124341    heuristic
498    "you need"    33150    heuristic
499    symptoms    45479    heuristic
500    apple-pie    130822    heuristic
501    travelling    46930    heuristic
503    "they like"    29624    heuristic
504    "i watched"    49700    heuristic
505    "I learned"    29232    heuristic
506    met    31220    heuristic
507    lice    30087    heuristic
508    "i used to"    131208    heuristic
509    colour    10622    heuristic
510    "at the"    3983    heuristic
511    "she was"    5097    heuristic
512    "i heard"    24062    heuristic
513    "I heard"    24062    heuristic
514    "i will go"    22713    heuristic
515    "I will go"    22713    heuristic
516    "to eat breakfast"    131216    heuristic
517    they're    58371    heuristic
518    "i like it"    29624    heuristic
519    "i liked"    29624    heuristic
520    "i wanted"    49626    heuristic
521    "i go to bed"    58368    heuristic
522    "it would be"    5097    heuristic
523    cesar    7761    misspelling
524    "my friend"    21525    heuristic
525    "i put"    38735    heuristic
526    "we had"    23944    heuristic
527    "i remember"    40056    heuristic
528    expected    19041    heuristic
529    "the rest"    40410    heuristic
530    "can you"    130539    heuristic
531    "in the"    26059    heuristic
532    "should be"    5097    heuristic
