id    source    source_cleaned    popularity
24445    descomunión    descomunion    15
24446    descomunalmente    descomunalmente    30
24447    descomunal    descomunal    392
24448    descomulgar    descomulgar    40
24449    descomulgador    descomulgador    15
24450    descomulgado    descomulgado    25
24451    descomulgada    descomulgada    10
24452    descompuesto    descompuesto    444
24453    descompuestamente    descompuestamente    29
24454    descompuesta    descompuesta    203
24455    descompresión    descompresion    33
24456    descompostura    descompostura    58
24457    descomposición    descomposicion    112
24458    descomponer    descomponer    767
24459    descompensar    descompensar    34
24460    descompasarse    descompasarse    42
24461    descompasado    descompasado    18
24462    descompasadamente    descompasadamente    32
24463    descompasada    descompasada    17
24464    descompaginar    descompaginar    24
24465    descompadrar    descompadrar    35
24466    descompás    descompas    17
24467    descomodidad    descomodidad    32
24468    descomer    descomer    33
24469    descomedirse    descomedirse    23
24470    descomedimiento    descomedimiento    25
24471    descomedido    descomedido    41
24472    descomedidamente    descomedidamente    27
24473    descomedida    descomedida    18
24474    descombrar    descombrar    49
24475    descolorir    descolorir    15
24476    descolorido    descolorido    84
24477    descolorida    descolorida    42
24478    descolorar    descolorar    50
24479    descoloramiento    descoloramiento    31
24480    descoloración    descoloracion    27
24481    descolocado    descolocado    61
24482    descolmillar    descolmillar    19
24483    descolmar    descolmar    20
24484    descollar    descollar    115
24485    descollamiento    descollamiento    23
24486    descolladamente    descolladamente    18
24487    descolgar    descolgar    832
24488    descolchar    descolchar    31
24489    descolar    descolar    57
24490    descojonarse    descojonarse    26
24491    descojonante    descojonante    29
24492    descogotar    descogotar    21
24493    descogotado    descogotado    22
24494    descogotada    descogotada    16
24495    descogollar    descogollar    19
24496    descoger    descoger    67
24497    descodificar    descodificar    52
24498    descodar    descodar    23
24499    descoco    descoco    35
24500    descocer    descocer    49
24501    descocar    descocar    34
24502    descocado    descocado    31
24503    descocadamente    descocadamente    12
24504    descocada    descocada    56
24505    descobijar    descobijar    35
24506    descobajar    descobajar    26
24507    descoagular    descoagular    16
24508    descoagulación    descoagulacion    17
24509    descoagulable    descoagulable    17
24510    desclavar    desclavar    70
24511    desclavador    desclavador    12
24512    desclasificar    desclasificar    24
24513    desclasificación    desclasificacion    14
24514    descinchar    descinchar    19
24515    descifrar    descifrar    703
24516    descifrador    descifrador    38
24517    descifrable    descifrable    37
24518    descerrumarse    descerrumarse    14
24519    descerrajar    descerrajar    48
24520    descerrajadura    descerrajadura    15
24521    descerrajado    descerrajado    18
24522    descerrajada    descerrajada    8
24523    descerebrado    descerebrado    26
24524    descerco    descerco    14
24525    descercar    descercar    17
24526    descercador    descercador    10
24527    descercado    descercado    10
24528    descercada    descercada    6
24529    descerar    descerar    26
24530    descepar    descepar    31
24531    descentralizar    descentralizar    49
24532    descentralización    descentralizacion    38
24533    descentrado    descentrado    37
24534    descentración    descentracion    14
24535    descenso    descenso    552
24536    descensión    descension    36
24537    descendimiento    descendimiento    33
24538    descendiente    descendiente    277
24539    descendida    descendida    40
24540    descender    descender    593
24541    descendente    descendente    122
24542    descendencia    descendencia    309
24543    descebar    descebar    35
24544    desceñir    descenir    19
24545    descaudalado    descaudalado    12
24546    descaudalada    descaudalada    7
24547    descastar    descastar    29
24548    descastado    descastado    60
24549    descastada    descastada    11
24550    descaspar    descaspar    11
24551    descascarar    descascarar    62
24552    descascarador    descascarador    29
24553    descascar    descascar    59
24554    descasar    descasar    96
24555    descasamiento    descasamiento    27
24556    descarzar    descarzar    14
24557    descarte    descarte    122
24558    descartar    descartar    1654
24559    descarrilo    descarrilo    21
24560    descarrillar    descarrillar    0
24561    descarrilar    descarrilar    105
24562    descarrilamiento    descarrilamiento    39
24563    descarriar    descarriar    118
24564    descarriamiento    descarriamiento    21
24565    descarrío    descarrio    25
24566    descaro    descaro    417
24567    descarnar    descarnar    51
24568    descarnadura    descarnadura    20
24569    descarnador    descarnador    25
24570    descarnado    descarnado    169
24571    descariño    descarino    11
24572    descariñarse    descarinarse    13
24573    descargue    descargue    123
24574    descargo    descargo    230
24575    descargar    descargar    2183
24576    descargadura    descargadura    24
24577    descargador    descargador    76
24578    descargado    descargado    127
24579    descargadero    descargadero    31
24580    descarga    descarga    803
24581    descarcañalar    descarcanalar    18
24582    descarburar    descarburar    32
24583    descararse    descararse    345
24584    descarado    descarado    944
24585    descaradamente    descaradamente    170
24586    descarada    descarada    688
24587    descapotable    descapotable    312
24588    descapirotar    descapirotar    23
24589    descapillar    descapillar    19
24590    descaperuzo    descaperuzo    22
24591    descaperuzar    descaperuzar    26
24592    descantonar    descantonar    25
24593    descantillar    descantillar    24
24594    descantillón    descantillon    17
24595    descanterar    descanterar    21
24596    descantear    descantear    26
24597    descantar    descantar    131
24598    descanso    descanso    2015
24599    descansillo    descansillo    95
24600    descansar    descansar    8572
24601    descansado    descansado    568
24602    descansadero    descansadero    57
24603    descansadamente    descansadamente    66
24604    descansada    descansada    393
24605    descampado    descampado    182
24606    descampada    descampada    30
24607    descamisado    descamisado    143
24608    descamisada    descamisada    31
24609    descamino    descamino    25
24610    descaminar    descaminar    49
24611    descaminado    descaminado    30
24612    descaminadamente    descaminadamente    15
24613    descaminada    descaminada    21
24614    descambio    descambio    23
24615    descambiar    descambiar    36
24616    descamación    descamacion    59
24617    descalzo    descalzo    632
24618    descalzar    descalzar    187
24619    descalzamiento    descalzamiento    7
24620    descalzadura    descalzadura    5
24621    descalzador    descalzador    16
24622    descalzado    descalzado    53
24623    descalzadero    descalzadero    11
24624    descalzada    descalzada    16
24625    descalza    descalza    329
24626    descalostrado    descalostrado    11
24627    descalostrada    descalostrada    4
24628    descalorarse    descalorarse    6
24629    descalificar    descalificar    128
24630    descalificación    descalificacion    53
24631    descalcificación    descalcificacion    19
24632    descalcez    descalcez    10
24633    descalcar    descalcar    15
24634    descalcador    descalcador    8
24635    descalcañalar    descalcanalar    6
24636    descalar    descalar    24
24637    descalandrajar    descalandrajar    9
24638    descalabro    descalabro    133
24639    descalabrar    descalabrar    140
24640    descalabradura    descalabradura    7
24641    descalabrado    descalabrado    78
24642    descalabrada    descalabrada    42
24643    descalabazarse    descalabazarse    14
24644    descaimiento    descaimiento    10
24645    descafeinado    descafeinado    83
24646    descaecimiento    descaecimiento    18
24647    descaecido    descaecido    4
24648    descaecida    descaecida    4
24649    descaecer    descaecer    36
24650    descadillar    descadillar    8
24651    descaderar    descaderar    33
24652    descacilar    descacilar    8
24653    descabullirse    descabullirse    8
24654    descabritar    descabritar    11
24655    descabezar    descabezar    58
24656    descabezamiento    descabezamiento    9
24657    descabezado    descabezado    24
24658    descabezada    descabezada    22
24659    descabestrar    descabestrar    5
24660    descabellar    descabellar    56
24661    descabellamiento    descabellamiento    14
24662    descabelladura    descabelladura    9
24663    descabellado    descabellado    175
24664    descabelladamente    descabelladamente    15
24665    descabellada    descabellada    106
24666    descaballar    descaballar    35
24667    descabalgar    descabalgar    96
24668    descabalgadura    descabalgadura    20
24669    descabalar    descabalar    132
24670    descabaladura    descabaladura    28
24671    descabal    descabal    66
24672    descañonar    descanonar    7
24673    descañar    descanar    152
24674    desbullar    desbullar    15
24675    desbulla    desbulla    10
24676    desbuchar    desbuchar    7
24677    desbrujar    desbrujar    10
24678    desbruar    desbruar    7
24679    desbrozo    desbrozo    13
24680    desbrozar    desbrozar    77
24681    desbroce    desbroce    0
24682    desbriznar    desbriznar    13
24683    desbridar    desbridar    14
24684    desbrevarse    desbrevarse    7
24685    desbrazarse    desbrazarse    6
24686    desbravecer    desbravecer    7
24687    desbravar    desbravar    186
24688    desbraguetado    desbraguetado    11
24689    desbraguetada    desbraguetada    12
24690    desbragado    desbragado    9
24691    desbragada    desbragada    2
24692    desbozar    desbozar    9
24693    desboscar    desboscar    13
24694    desborrar    desborrar    58
24695    desboronar    desboronar    30
24696    desbordar    desbordar    724
24697    desbordante    desbordante    159
24698    desbordamiento    desbordamiento    140
24699    desboquillar    desboquillar    6
24700    desbonetarse    desbonetarse    14
24701    desbocar    desbocar    136
24702    desbocamiento    desbocamiento    18
24703    desbocado    desbocado    168
24704    desbocadamente    desbocadamente    8
24705    desbocada    desbocada    49
24706    desbloquear    desbloquear    156
24707    desblanquiñado    desblanquinado    5
24708    desblanquecido    desblanquecido    10
24709    desblanquecida    desblanquecida    3
24710    desblandir    desblandir    9
24711    desbituminizar    desbituminizar    3
24712    desbituminación    desbituminacion    3
24713    desbecerrar    desbecerrar    6
24714    desbeber    desbeber    16
24715    desbazadero    desbazadero    9
24716    desbautizarse    desbautizarse    8
24717    desbastecido    desbastecido    13
24718    desbastecida    desbastecida    3
24719    desbaste    desbaste    42
24720    desbastar    desbastar    63
24721    desbastadura    desbastadura    10
24722    desbarro    desbarro    11
24723    desbarrigar    desbarrigar    11
24724    desbarrigado    desbarrigado    8
24725    desbarrigada    desbarrigada    5
24726    desbarretar    desbarretar    15
24727    desbarrar    desbarrar    42
24728    desbardar    desbardar    12
24729    desbarbillar    desbarbillar    7
24730    desbarbar    desbarbar    16
24731    desbarbado    desbarbado    21
24732    desbarbada    desbarbada    5
24733    desbarato    desbarato    33
24734    desbarate    desbarate    44
24735    desbaratar    desbaratar    362
24736    desbaratamiento    desbaratamiento    25
24737    desbaratadora    desbaratadora    4
24738    desbaratador    desbaratador    14
24739    desbaratado    desbaratado    92
24740    desbaratadamente    desbaratadamente    15
24741    desbaratada    desbaratada    77
24742    desbarajuste    desbarajuste    77
24743    desbarajustar    desbarajustar    21
24744    desbandarse    desbandarse    59
24745    desbandada    desbandada    147
24746    desbancar    desbancar    115
24747    desballestar    desballestar    17
24748    desbalijar    desbalijar    30
24749    desbalijamiento    desbalijamiento    5
24750    desbagar    desbagar    10
24751    desbabar    desbabar    25
24752    desbabador    desbabador    16
24753    desazufrar    desazufrar    10
24754    desazonar    desazonar    81
24755    desazonado    desazonado    25
24756    desazonada    desazonada    13
24757    desazogar    desazogar    14
24758    desazón    desazon    339
24759    desayustar    desayustar    10
24760    desayuntar    desayuntar    37
24761    desayuntamiento    desayuntamiento    36
24762    desayuno    desayuno    4091
24763    desayunar    desayunar    3250
24764    desayudar    desayudar    183
24765    desavisar    desavisar    11
24766    desavisado    desavisado    10
24767    desavisada    desavisada    5
24768    desaviar    desaviar    24
24769    desaventajado    desaventajado    17
24770    desaventajadamente    desaventajadamente    10
24771    desaventajada    desaventajada    10
24772    desavenir    desavenir    11
24773    desavenimiento    desavenimiento    14
24774    desavenido    desavenido    36
24775    desavenida    desavenida    10
24776    desavenencia    desavenencia    141
24777    desavecindarse    desavecindarse    14
24778    desavecindado    desavecindado    10
24779    desavecindada    desavecindada    9
24780    desavahar    desavahar    12
24781    desavahado    desavahado    11
24782    desavahada    desavahada    4
24783    desavío    desavio    16
24784    desautorizar    desautorizar    50
24785    desautorizado    desautorizado    34
24786    desautorización    desautorizacion    6
24787    desautoridad    desautoridad    16
24788    desaturdir    desaturdir    9
24789    desatufarse    desatufarse    9
24790    desatrancar    desatrancar    20
24791    desatrampar    desatrampar    14
24792    desatraillar    desatraillar    10
24793    desatraer    desatraer    12
24794    desatracar    desatracar    18
24795    desatrabillar    desatrabillar    2
24796    desatornillar    desatornillar    33
24797    desatornillador    desatornillador    22
24798    desatontarse    desatontarse    7
24799    desatolondrar    desatolondrar    8
24800    desatolondrado    desatolondrado    9
24801    desatolondrada    desatolondrada    4
24802    desatollar    desatollar    11
24803    desativar    desativar    9
24804    desatino    desatino    213
24805    desatinar    desatinar    75
24806    desatinado    desatinado    83
24807    desatinadamente    desatinadamente    44
24808    desatinada    desatinada    31
24809    desatiento    desatiento    21
24810    desatestar    desatestar    8
24811    desatesorar    desatesorar    12
24812    desatento    desatento    29
24813    desatentar    desatentar    13
24814    desatentamente    desatentamente    21
24815    desatentado    desatentado    24
24816    desatentada    desatentada    11
24817    desatenta    desatenta    25
24818    desatendible    desatendible    17
24819    desatender    desatender    193
24820    desatención    desatencion    47
24821    desate    desate    49
24822    desatavio    desatavio    17
24823    desataviar    desataviar    15
24824    desatascar    desatascar    62
24825    desatar    desatar    1191
24826    desatancar    desatancar    15
24827    desatamiento    desatamiento    21
24828    desatadura    desatadura    30
24829    desatador    desatador    40
24830    desatado    desatado    232
24831    desatada    desatada    196
24832    desatacar    desatacar    101
24833    desastroso    desastroso    0
24834    desastrosa    desastrosa    94
24835    desastre    desastre    701
24836    desastrado    desastrado    42
24837    desastrada    desastrada    35
24838    desasosiego    desasosiego    380
24839    desasosegar    desasosegar    119
24840    desasosegado    desasosegado    79
24841    desasosegadamente    desasosegadamente    18
24842    desasociable    desasociable    30
24843    desasnar    desasnar    43
24844    desasir    desasir    107
24845    desasimiento    desasimiento    38
24846    desaseo    desaseo    49
24847    desasentar    desasentar    26
24848    desasegurar    desasegurar    29
24849    desasear    desasear    55
24850    desaseadamente    desaseadamente    23
24851    desasado    desasado    34
24852    desasada    desasada    19
24853    desarzonar    desarzonar    21
24854    desartillar    desartillar    20
24855    desarticular    desarticular    168
24856    desarticulado    desarticulado    72
24857    desarticulación    desarticulacion    48
24858    desarrumar    desarrumar    24
24859    desarrugar    desarrugar    57
24860    desarropar    desarropar    23
24861    desarrollo    desarrollo    3726
24862    desarrollar    desarrollar    4573
24863    desarrollado    desarrollado    777
24864    desarrimo    desarrimo    29
24865    desarrimar    desarrimar    22
24866    desarrendarse    desarrendarse    20
24867    desarreglo    desarreglo    64
24868    desarreglar    desarreglar    72
24869    desarreglado    desarreglado    85
24870    desarregladamente    desarregladamente    13
24871    desarreglada    desarreglada    52
24872    desarrebujar    desarrebujar    25
24873    desarrebozar    desarrebozar    21
24874    desarrapado    desarrapado    191
24875    desarrapada    desarrapada    34
24876    desarrancarse    desarrancarse    32
24877    desarraigo    desarraigo    203
24878    desarraigar    desarraigar    152
24879    desarme    desarme    127
24880    desarmar    desarmar    337
24881    desarmamiento    desarmamiento    26
24882    desarmadura    desarmadura    25
24883    desarmador    desarmador    156
24884    desarmado    desarmado    118
24885    desarmada    desarmada    52
24886    desarmable    desarmable    44
24887    desareno    desareno    49
24888    desarenar    desarenar    55
24889    desarbolo    desarbolo    40
24890    desarbolar    desarbolar    45
24891    desapuntar    desapuntar    26
24892    desapuntalar    desapuntalar    14
24893    desaprovechar    desaprovechar    156
24894    desaprovechamiento    desaprovechamiento    11
24895    desaprovechado    desaprovechado    44
24896    desaprovechadamente    desaprovechadamente    6
24897    desaprovechada    desaprovechada    24
24898    desapropio    desapropio    10
24899    desapropiar    desapropiar    19
24900    desapropiamiento    desapropiamiento    7
24901    desapropiación    desapropiacion    5
24902    desaprobar    desaprobar    188
24903    desaprobación    desaprobacion    99
24904    desaprisionar    desaprisionar    12
24905    desapretar    desapretar    29
24906    desapretador    desapretador    12
24907    desaprensivo    desaprensivo    41
24908    desaprensivamente    desaprensivamente    11
24909    desaprensión    desaprension    14
24910    desaprensar    desaprensar    11
24911    desaprender    desaprender    37
24912    desaprecio    desaprecio    9
24913    desapreciar    desapreciar    50
24914    desapoyar    desapoyar    12
24915    desapostura    desapostura    9
24916    desaposesionar    desaposesionar    9
24917    desaposentar    desaposentar    13
24918    desaporcar    desaporcar    16
24919    desapolillar    desapolillar    8
24920    desapoderar    desapoderar    12
24921    desapoderamiento    desapoderamiento    20
24922    desapoderado    desapoderado    13
24923    desapoderada    desapoderada    6
24924    desaplomar    desaplomar    13
24925    desaplicado    desaplicado    28
24926    desaplicadamente    desaplicadamente    9
24927    desaplicada    desaplicada    5
24928    desaplicación    desaplicacion    13
24929    desapiolar    desapiolar    10
24930    desapiadado    desapiadado    23
24931    desapiadadamente    desapiadadamente    7
24932    desapiadada    desapiadada    12
24933    desapestar    desapestar    10
24934    desapercibo    desapercibo    12
24935    desapercibimiento    desapercibimiento    10
24936    desapercibido    desapercibido    214
24937    desapercibidamente    desapercibidamente    14
24938    desapercibida    desapercibida    116
24939    desapego    desapego    140
24940    desapegarse    desapegarse    33
24941    desapasionarse    desapasionarse    7
24942    desapasionado    desapasionado    20
24943    desapasionadamente    desapasionadamente    11
24944    desaparroquiar    desaparroquiar    6
24945    desaparición    desaparicion    553
24946    desaparejar    desaparejar    19
24947    desaparecimiento    desaparecimiento    72
24948    desaparecido    desaparecido    891
24949    desaparecer    desaparecer    2436
24950    desaparear    desaparear    156
24951    desapadrinar    desapadrinar    13
24952    desapaciblemente    desapaciblemente    20
24953    desapacible    desapacible    106
24954    desapacibilidad    desapacibilidad    16
24955    desanudar    desanudar    43
24956    desanimar    desanimar    403
24957    desanimado    desanimado    347
24958    desanimadamente    desanimadamente    16
24959    desanimada    desanimada    123
24960    desanidar    desanidar    10
24961    desangrar    desangrar    345
24962    desangramiento    desangramiento    24
24963    desandrajado    desandrajado    18
24964    desandrajada    desandrajada    5
24965    desandar    desandar    127
24966    desandadura    desandadura    12
24967    desancorar    desancorar    13
24968    desanclar    desanclar    17
24969    desamueblar    desamueblar    13
24970    desamueblado    desamueblado    20
24971    desamueblada    desamueblada    9
24972    desamparo    desamparo    392
24973    desamparar    desamparar    307
24974    desamparadora    desamparadora    8
24975    desamparador    desamparador    31
24976    desamparado    desamparado    0
24977    desamotinarse    desamotinarse    7
24978    desamortizar    desamortizar    26
24979    desamortización    desamortizacion    71
24980    desamortecer    desamortecer    3
24981    desamortajar    desamortajar    4
24982    desamorrar    desamorrar    8
24983    desamoroso    desamoroso    12
24984    desamorosa    desamorosa    8
24985    desamorar    desamorar    17
24986    desamorado    desamorado    35
24987    desamoradamente    desamoradamente    7
24988    desamorada    desamorada    18
24989    desamor    desamor    284
24990    desamoldar    desamoldar    11
24991    desamodorrar    desamodorrar    6
24992    desamistarse    desamistarse    15
24993    desamistad    desamistad    9
24994    desamigado    desamigado    4
24995    desamigada    desamigada    3
24996    desamelgar    desamelgar    10
24997    desamelgamiento    desamelgamiento    3
24998    desamasado    desamasado    22
24999    desamasada    desamasada    7
25000    desamarrar    desamarrar    60
25001    desamar    desamar    75
25002    desamador    desamador    29
25003    desamable    desamable    38
25004    desalumbramiento    desalumbramiento    12
25005    desalumbrado    desalumbrado    8
25006    desalumbradamente    desalumbradamente    9
25007    desalumbrada    desalumbrada    8
25008    desalterar    desalterar    8
25009    desalquilar    desalquilar    9
25010    desalquilado    desalquilado    5
25011    desalquilada    desalquilada    4
25012    desalojar    desalojar    494
25013    desalojamiento    desalojamiento    43
25014    desalmidonar    desalmidonar    15
25015    desalmenado    desalmenado    7
25016    desalmenada    desalmenada    3
25017    desalmar    desalmar    61
25018    desalmamiento    desalmamiento    11
25019    desalmado    desalmado    0
25020    desalmadamente    desalmadamente    14
25021    desalmada    desalmada    70
25022    desalivar    desalivar    7
25023    desalivación    desalivacion    4
25024    desalinear    desalinear    44
25025    desaliento    desaliento    389
25026    desaliño    desalino    78
25027    desaliñar    desalinar    48
25028    desaliñado    desalinado    197
25029    desaliñadamente    desalinadamente    9
25030    desalhajar    desalhajar    11
25031    desalforjar    desalforjar    7
25032    desalfombrar    desalfombrar    10
25033    desalentar    desalentar    328
25034    desalentadora    desalentadora    34
25035    desalentador    desalentador    158
25036    desalbardar    desalbardar    7
25037    desalazón    desalazon    5
25038    desalar    desalar    62
25039    desaladura    desaladura    13
25040    desaladamente    desaladamente    9
25041    desalabear    desalabear    12
25042    desalabar    desalabar    20
25043    desalabanza    desalabanza    14
25044    desajuste    desajuste    120
25045    desajustar    desajustar    64
25046    desaislarse    desaislarse    8
25047    desaire    desaire    180
25048    desairar    desairar    141
25049    desairado    desairado    31
25050    desairadamente    desairadamente    13
25051    desairada    desairada    25
25052    desainar    desainar    22
25053    desainadura    desainadura    11
25054    desahumar    desahumar    15
25055    desahumado    desahumado    9
25056    desahumada    desahumada    6
25057    desahucio    desahucio    116
25058    desahuciar    desahuciar    200
25059    desahuciado    desahuciado    207
25060    desahuciada    desahuciada    60
25061    desahogo    desahogo    338
25062    desahogar    desahogar    677
25063    desahogamiento    desahogamiento    38
25064    desahogado    desahogado    124
25065    desahogadamente    desahogadamente    20
25066    desahogada    desahogada    145
25067    desahitarse    desahitarse    23
25068    desahijar    desahijar    91
25069    desaguisado    desaguisado    58
25070    desaguisada    desaguisada    11
25071    desaguazar    desaguazar    23
25072    desaguar    desaguar    197
25073    desaguador    desaguador    23
25074    desaguadero    desaguadero    79
25075    desagriar    desagriar    10
25076    desagregar    desagregar    63
25077    desagregación    desagregacion    35
25078    desagravio    desagravio    112
25079    desagraviar    desagraviar    39
25080    desagrado    desagrado    223
25081    desagradecimiento    desagradecimiento    26
25082    desagradecido    desagradecido    108
25083    desagradecidamente    desagradecidamente    10
25084    desagradecida    desagradecida    59
25085    desagradecer    desagradecer    41
25086    desagradar    desagradar    260
25087    desagradablemente    desagradablemente    37
25088    desagradable    desagradable    1000
25089    desagracier    desagracier    17
25090    desagraciado    desagraciado    55
25091    desagraciada    desagraciada    33
25092    desagotar    desagotar    56
25093    desagitar    desagitar    24
25094    desagitadera    desagitadera    14
25095    desagarrar    desagarrar    58
25096    desagüe    desague    536
25097    desafuero    desafuero    136
25098    desafortunado    desafortunado    187
25099    desafortunada    desafortunada    135
25100    desaforrar    desaforrar    21
25101    desaforo    desaforo    22
25102    desaforar    desaforar    92
25103    desaforado    desaforado    0
25104    desaforada    desaforada    143
25105    desafinar    desafinar    153
25106    desafinado    desafinado    258
25107    desafinadamente    desafinadamente    49
25108    desafilar    desafilar    62
25109    desafilado    desafilado    43
25110    desafijar    desafijar    16
25111    desaficionar    desaficionar    16
25112    desafición    desaficion    10
25113    desafiar    desafiar    1357
25114    desafianzar    desafianzar    37
25115    desafianzadora    desafianzadora    10
25116    desafianzador    desafianzador    27
25117    desafiante    desafiante    413
25118    desafiadora    desafiadora    29
25119    desafiador    desafiador    144
25120    desaferrar    desaferrar    43
25121    desafecto    desafecto    139
25122    desafectación    desafectacion    17
25123    desafecta    desafecta    36
25124    desafección    desafeccion    33
25125    desafear    desafear    286
25126    desafío    desafio    2395
25127    desadvertir    desadvertir    21
25128    desadvertimiento    desadvertimiento    15
25129    desadvertido    desadvertido    19
25130    desadvertidamente    desadvertidamente    13
25131    desadvertida    desadvertida    14
25132    desadorno    desadorno    25
25133    desadornar    desadornar    26
25134    desadormecer    desadormecer    13
25135    desadorar    desadorar    40
25136    desadeudar    desadeudar    16
25137    desaderezar    desaderezar    16
25138    desacuerdo    desacuerdo    393
25139    desacuñar    desacunar    12
25140    desacuñador    desacunador    6
25141    desactualizado    desactualizado    50
25142    desactivar    desactivar    141
25143    desacreditar    desacreditar    87
25144    desacoto    desacoto    12
25145    desacotar    desacotar    20
25146    desacostumbrar    desacostumbrar    15
25147    desacostumbrado    desacostumbrado    48
25148    desacostumbradamente    desacostumbradamente    16
25149    desacostumbrada    desacostumbrada    20
25150    desacorralar    desacorralar    16
25151    desacordonar    desacordonar    8
25152    desacorde    desacorde    27
25153    desacordar    desacordar    29
25154    desacordanza    desacordanza    10
25155    desacordamiento    desacordamiento    12
25156    desacordado    desacordado    17
25157    desacordadamente    desacordadamente    14
25158    desacordada    desacordada    5
25159    desacoplar    desacoplar    41
25160    desaconsejar    desaconsejar    79
25161    desaconsejado    desaconsejado    11
25162    desaconsejada    desaconsejada    12
25163    desacompañar    desacompanar    12
25164    desacompañamiento    desacompanamiento    13
25165    desacomodo    desacomodo    24
25166    desacomodar    desacomodar    26
25167    desacomodado    desacomodado    23
25168    desacomodadamente    desacomodadamente    18
25169    desacomodada    desacomodada    20
25170    desacollar    desacollar    18
25171    desacobardar    desacobardar    36
25172    desacierto    desacierto    94
25173    desacidificar    desacidificar    15
25174    desachispar    desachispar    15
25175    desacertar    desacertar    40
25176    desacertado    desacertado    66
25177    desacertadamente    desacertadamente    18
25178    desacertada    desacertada    34
25179    desacerbar    desacerbar    31
25180    desacerar    desacerar    44
25181    desaceleración    desaceleracion    81
25182    desaceitar    desaceitar    32
25183    desaceitado    desaceitado    24
25184    desaceitada    desaceitada    26
25185    desacato    desacato    229
25186    desacatar    desacatar    0
25187    desacatamiento    desacatamiento    36
25188    desacatadora    desacatadora    27
25189    desacatador    desacatador    35
25190    desacatado    desacatado    100
25191    desacatadamente    desacatadamente    45
25192    desacatada    desacatada    52
25193    desacalorarse    desacalorarse    47
25194    desacabalar    desacabalar    49
25195    desabrochar    desabrochar    310
25196    desabrir    desabrir    39
25197    desabrimiento    desabrimiento    70
25198    desabrigo    desabrigo    56
25199    desabrigar    desabrigar    63
25200    desabrigado    desabrigado    51
25201    desabrigadamente    desabrigadamente    30
25202    desabrigada    desabrigada    50
25203    desabrido    desabrido    168
25204    desabridamente    desabridamente    49
25205    desabrida    desabrida    128
25206    desabrazar    desabrazar    41
25207    desabozar    desabozar    33
25208    desabotonar    desabotonar    275
25209    desaborido    desaborido    38
25210    desaborida    desaborida    28
25211    desabordarse    desabordarse    41
25212    desaborar    desaborar    47
25213    desabor    desabor    55
25214    desabono    desabono    54
25215    desabonarse    desabonarse    38
25216    desabollar    desabollar    65
25217    desabollador    desabollador    63
25218    desabitar    desabitar    41
25219    desabillé    desabille    40
25220    desabido    desabido    41
25221    desabida    desabida    54
25222    desabejar    desabejar    250
25223    desabastecimiento    desabastecimiento    240
25224    desabastecido    desabastecido    175
25225    desabastecer    desabastecer    161
25226    desabarrancar    desabarrancar    265
25227    desañudadura    desanudadura    22
25228    desértico    desertico    108
25229    desánimo    desanimo    0
25230    des    des    1000
25231    derviche    derviche    53
25232    derrumbe    derrumbe    553
25233    derrumbar    derrumbar    1104
25234    derrumbamiento    derrumbamiento    120
25235    derrumbadero    derrumbadero    109
25236    derruir    derruir    144
25237    derrubio    derrubio    40
25238    derrubiar    derrubiar    46
25239    derrotista    derrotista    76
25240    derrotismo    derrotismo    43
25241    derrotero    derrotero    163
25242    derrote    derrote    71
25243    derrotar    derrotar    1382
25244    derrotado    derrotado    594
25245    derrota    derrota    1577
25246    derroche    derroche    471
25247    derrochara    derrochara    30
25248    derrochar    derrochar    515
25249    derrochamiento    derrochamiento    35
25250    derrochado    derrochado    80
25251    derrocar    derrocar    952
25252    derrocadero    derrocadero    62
25253    derrisorio    derrisorio    18
25254    derrisoria    derrisoria    20
25255    derribo    derribo    0
25256    derribar    derribar    1182
25257    derribado    derribado    233
25258    derretir    derretir    1217
25259    derretimiento    derretimiento    134
25260    derretido    derretido    277
25261    derretida    derretida    190
25262    derrengo    derrengo    27
25263    derrengar    derrengar    83
25264    derrengadura    derrengadura    18
25265    derrengado    derrengado    31
25266    derrengada    derrengada    22
25267    derrenegar    derrenegar    24
25268    derredor    derredor    247
25269    derraspado    derraspado    21
25270    derrape    derrape    53
25271    derrapar    derrapar    102
25272    derramo    derramo    198
25273    derrame    derrame    841
25274    derramar    derramar    1485
25275    derramamiento    derramamiento    158
25276    derramador    derramador    108
25277    derramadero    derramadero    46
25278    derramadera    derramadera    51
25279    derramadamente    derramadamente    109
25280    derrama    derrama    667
25281    derraigar    derraigar    39
25282    derrabar    derrabar    112
25283    derrabadura    derrabadura    21
25284    derogatorio    derogatorio    43
25285    derogatoria    derogatoria    93
25286    derogar    derogar    0
25287    derogado    derogado    87
25288    derogada    derogada    46
25289    derogación    derogacion    190
25290    derogable    derogable    17
25291    dermologista    dermologista    7
25292    dermología    dermologia    10
25293    dermoidea    dermoidea    9
25294    dermografía    dermografia    10
25295    dermodonte    dermodonte    9
25296    dermitis    dermitis    18
25297    dermis    dermis    45
25298    dermico    dermico    0
25299    dermica    dermica    31
25300    dermesto    dermesto    19
25301    dermatoponte    dermatoponte    14
25302    "dermatologista or dermatólogo"    "dermatologista or dermatologo"    28
25303    dermatologica    dermatologica    35
25304    dermatología    dermatologia    51
25305    dermatológico    dermatologico    13
25306    dermatitis    dermatitis    86
25307    dermalgia    dermalgia    24
25308    dermóideo    dermoideo    9
25309    derivativo    derivativo    33
25310    derivativa    derivativa    17
25311    derivar    derivar    459
