id    source    source_cleaned    popularity
235    avocar    avocar    156
236    avocamiento    avocamiento    18
237    avocado    avocado    1737
238    avocación    avocacion    21
239    avocable    avocable    35
240    avo    avo    80
241    avizorar    avizorar    117
242    avizor    avizor    35
243    avivar    avivar    355
244    avivadora    avivadora    13
245    avivador    avivador    15
246    avivado    avivado    63
247    avivadamente    avivadamente    26
248    avituallar    avituallar    10
249    avituallamiento    avituallamiento    44
250    avitelado    avitelado    7
251    avitar    avitar    101
252    avistar    avistar    274
253    avispero    avispero    62
254    avispar    avispar    35
255    avispado    avispado    101
256    avispada    avispada    29
257    avispa    avispa    446
258    avispón    avispon    50
259    aviso    aviso    1874
260    avisar    avisar    2412
261    avisador    avisador    45
262    avisado    avisado    160
263    avisadamente    avisadamente    34
264    avisada    avisada    93
265    avioneta    avioneta    404
266    avionero    avionero    57
267    avionazo    avionazo    44
268    avinagrar    avinagrar    32
269    avinagrado    avinagrado    36
270    avinagrada    avinagrada    33
271    avinado    avinado    15
272    avinada    avinada    12
273    avillanar    avillanar    11
274    avillanado    avillanado    8
275    avillanada    avillanada    6
276    avilanteza    avilanteza    7
277    avilantez    avilantez    18
278    avilantarse    avilantarse    4
279    avilanado    avilanado    11
280    avilanada    avilanada    22
281    avigorar    avigorar    25
282    avieso    avieso    55
283    aviesamente    aviesamente    5
284    aviesa    aviesa    44
285    aviento    aviento    203
286    aviejarse    aviejarse    14
287    avidez    avidez    295
288    avida    avida    164
289    avicultura    avicultura    47
290    avicultora    avicultora    6
291    avicultor    avicultor    16
292    aviciar    aviciar    28
293    aviatorio    aviatorio    15
294    aviar    aviar    271
295    aviadora    aviadora    24
296    aviador    aviador    109
297    aviado    aviado    83
298    aviación    aviacion    239
299    avión    avion    3614
300    avezar    avezar    261
301    avezado    avezado    52
302    avetoro    avetoro    57
303    avetarda    avetarda    12
304    avetado    avetado    13
305    avetada    avetada    10
306    avestruz    avestruz    726
307    avertir    avertir    106
308    averso    averso    27
309    aversión    aversion    285
310    aversa    aversa    17
311    averrugarse    averrugarse    9
312    averrugado    averrugado    12
313    averrugada    averrugada    12
314    averiguata    averiguata    17
315    averiguar    averiguar    3359
316    averiguadora    averiguadora    20
317    averiguador    averiguador    86
318    averiguado    averiguado    190
319    averiguadamente    averiguadamente    35
320    averiguación    averiguacion    261
321    averiguable    averiguable    129
322    averigüetas    averiguetas    40
323    averiarse    averiarse    113
324    averiar    averiar    218
325    averiado    averiado    217
326    averiada    averiada    86
327    avergonzar    avergonzar    861
328    avergonzado    avergonzado    1172
329    avergonzada    avergonzada    613
330    averar    averar    298
331    averamia    averamia    42
332    averío    averio    75
333    avería    averia    688
334    aventurero    aventurero    360
335    aventurera    aventurera    110
336    aventurar    aventurar    175
337    aventurado    aventurado    92
338    aventurada    aventurada    51
339    aventura    aventura    991
340    aventino    aventino    18
341    aventar    aventar    519
342    aventajar    aventajar    179
343    aventajado    aventajado    89
344    aventajadamente    aventajadamente    11
345    aventajada    aventajada    28
346    aventaja    aventaja    0
347    aventadura    aventadura    28
348    aventadora    aventadora    24
349    aventador    aventador    105
350    aventado    aventado    150
351    aventadero    aventadero    23
352    aventada    aventada    100
353    aventón    aventon    252
354    avenir    avenir    163
355    aveninteza    aveninteza    18
356    avenimiento    avenimiento    46
357    avenidora    avenidora    22
358    avenidor    avenidor    19
359    avenido    avenido    120
360    avenida    avenida    1547
361    avenicea    avenicea    15
362    avenenteza    avenenteza    22
363    avenencia    avenencia    32
364    avenenar    avenenar    16
365    avencidamiento    avencidamiento    29
366    avenate    avenate    16
367    avenar    avenar    31
368    avenamiento    avenamiento    24
369    avenal    avenal    33
370    avenado    avenado    31
371    avenada    avenada    36
372    avenacea    avenacea    33
373    avena    avena    989
374    aveníceo    aveniceo    15
375    avenáceo    avenaceo    5
376    Avemaría    avemaria    89
377    avellano    avellano    127
378    avellanica    avellanica    19
379    avellanero    avellanero    19
380    avellanera    avellanera    14
381    avellanedo    avellanedo    18
382    avellanarse    avellanarse    0
383    avellanar    avellanar    36
384    avellanal    avellanal    20
385    avellanador    avellanador    22
386    avellanado    avellanado    57
387    avellanada    avellanada    16
388    avellana    avellana    456
389    avelar    avelar    51
390    avejigar    avejigar    17
391    avejentar    avejentar    46
392    avejentado    avejentado    57
