id    source    source_cleaned    popularity
241    abstergent    abstergent    22
242    abstersion    abstersion    0
243    abstersive    abstersive    17
244    abstinence    abstinence    173
245    abstinency    abstinency    24
246    abstinent    abstinent    68
247    abstinently    abstinently    19
248    abstract    abstract    951
249    abstracted    abstracted    39
250    abstractedly    abstractedly    29
251    abstractedness    abstractedness    27
252    abstracter    abstracter    20
253    abstraction    abstraction    102
254    abstractionism    abstractionism    27
255    abstractive    abstractive    23
256    abstractively    abstractively    33
257    abstractly    abstractly    36
258    abstractness    abstractness    39
259    abstruse    abstruse    57
260    abstrusely    abstrusely    42
261    abstruseness    abstruseness    34
262    abstrusity    abstrusity    27
263    absurd    absurd    290
264    absurdity    absurdity    152
265    absurdly    absurdly    43
266    absurdness    absurdness    33
267    abulia    abulia    196
268    abulic    abulic    40
269    abundance    abundance    381
270    abundant    abundant    421
271    abundantly    abundantly    112
272    abuse    abuse    1580
273    abuser    abuser    227
274    abusive    abusive    349
275    abusively    abusively    33
276    abusiveness    abusiveness    31
277    abut    abut    81
278    abutilon    abutilon    28
279    abutment    abutment    77
280    abuttal    abuttal    31
281    abutting    abutting    52
282    abysm    abysm    36
283    abysmal    abysmal    0
284    abyss    abyss    257
285    abyssal    abyssal    40
286    Abyssinia    abyssinia    33
287    Abyssinian    abyssinian    35
288    ac    ac    395
289    -ac    ac    3
290    acacia    acacia    294
291    academian    academian    50
292    academic    academic    754
293    academical    academical    42
294    academically    academically    137
295    academician    academician    45
296    academism    academism    21
297    academist    academist    18
298    academy    academy    773
299    acaleph    acaleph    21
300    acalephae    acalephae    19
301    acanaceous    acanaceous    21
302    acanthine    acanthine    20
303    acanthopterygii    acanthopterygii    19
304    acanthus    acanthus    35
305    acaridae    acaridae    33
306    acarus    acarus    42
307    acatalectic    acatalectic    22
308    acaulescent    acaulescent    14
309    acauline    acauline    21
310    acaulous    acaulous    21
311    accede    accede    148
312    accelerando    accelerando    48
313    accelerate    accelerate    281
314    accelerating    accelerating    46
315    acceleration    acceleration    104
316    accelerative    accelerative    25
317    accelerator    accelerator    99
318    accelerometer    accelerometer    25
319    accent    accent    1458
320    accentual    accentual    37
321    accentuate    accentuate    193
322    accentuation    accentuation    45
323    accept    accept    3048
324    acceptability    acceptability    56
325    acceptable    acceptable    774
326    acceptableness    acceptableness    36
327    acceptably    acceptably    24
328    acceptance    acceptance    1095
329    acceptation    acceptation    38
330    accepted    accepted    769
331    accepter    accepter    15
332    acception    acception    90
333    acceptive    acceptive    46
334    acceptor    acceptor    38
335    access    access    2282
336    "access road"    "access road"    34
337    accessar    accessar    89
338    accessarily    accessarily    15
339    accessariness    accessariness    24
340    accessary    accessary    117
341    accessible    accessible    451
342    accession    accession    66
343    accessory    accessory    687
344    accidence    accidence    27
345    accident    accident    1968
346    accidental    accidental    278
347    accidentally    accidentally    604
348    accident-prone    accidentprone    51
349    accipient    accipient    16
350    accite    accite    36
351    acclaim    acclaim    268
352    acclamation    acclamation    26
353    acclamatory    acclamatory    19
354    acclimate    acclimate    92
355    acclimated    acclimated    31
356    acclimation    acclimation    41
357    acclimatization    acclimatization    37
358    acclimatize    acclimatize    45
359    acclive    acclive    18
360    acclivity    acclivity    26
361    acclivous    acclivous    14
362    accolade    accolade    135
363    accommodable    accommodable    56
364    accommodableness    accommodableness    23
365    accommodate    accommodate    588
366    accommodateness    accommodateness    23
367    accommodating    accommodating    119
368    accommodation    accommodation    696
369    accommodator    accommodator    16
370    accompanable    accompanable    22
371    accompanier    accompanier    70
372    accompaniment    accompaniment    130
373    accompanist    accompanist    0
374    accompany    accompany    1052
375    accomplice    accomplice    248
376    accomplish    accomplish    2135
377    accomplishable    accomplishable    41
378    accomplished    accomplished    829
379    accomplisher    accomplisher    32
380    accomplishment    accomplishment    1753
381    accompt    accompt    14
382    accomptant    accomptant    21
383    accord    accord    324
384    accordable    accordable    23
385    accordance    accordance    466
386    accordancy    accordancy    21
387    accordant    accordant    20
388    accordantly    accordantly    25
389    accorder    accorder    26
391    accordingly    accordingly    556
392    accordion    accordion    429
393    accordionist    accordionist    26
394    accost    accost    71
395    accostable    accostable    16
396    accosted    accosted    39
397    accouchement    accouchement    17
398    accoucheur    accoucheur    16
399    accoucheuse    accoucheuse    20
400    account    account    2692
401    accountability    accountability    744
402    accountable    accountable    487
403    accountableness    accountableness    36
404    accountancy    accountancy    81
405    accountant    accountant    1314
406    account-book    accountbook    35
407    accounted    accounted    93
408    accounting    accounting    1112
409    Accounting-day    accountingday    21
410    accouple    accouple    14
411    accouplement    accouplement    16
412    accourt    accourt    18
413    accouter    accouter    25
414    accoutrement    accoutrement    36
415    accredit    accredit    137
416    accrescent    accrescent    18
417    accretion    accretion    56
418    accretive    accretive    31
419    accroach    accroach    24
420    accrue    accrue    333
421    accrument    accrument    13
422    accubation    accubation    22
423    accumb    accumb    21
424    accumbent    accumbent    22
425    accumulate    accumulate    339
426    accumulation    accumulation    105
427    accumulative    accumulative    33
428    accumulatively    accumulatively    11
429    accumulator    accumulator    26
430    accuracy    accuracy    1007
431    accurate    accurate    1910
432    accurately    accurately    534
433    accurateness    accurateness    29
434    accurse    accurse    18
435    accursed    accursed    47
436    accusable    accusable    19
437    accusant    accusant    17
438    accusation    accusation    274
439    accusative    accusative    23
440    accusatory    accusatory    50
441    accuse    accuse    760
442    accuser    accuser    48
443    accustom    accustom    345
444    accustomable    accustomable    16
445    accustomably    accustomably    14
446    accustomarily    accustomarily    14
447    accustomary    accustomary    14
448    accustomed    accustomed    410
449    ace    ace    588
450    acentric    acentric    27
451    acephala    acephala    17
452    acephalous    acephalous    26
453    acer    acer    689
454    acerate    acerate    32
455    acerated    acerated    23
456    acerb    acerb    27
457    acerbate    acerbate    25
458    acerbity    acerbity    27
459    acerose    acerose    30
460    acerous    acerous    32
461    acescent    acescent    33
462    acesceny    acesceny    17
463    acetabulum    acetabulum    26
464    acetanilid    acetanilid    15
465    acetate    acetate    63
466    acetic    acetic    37
467    acetification    acetification    19
468    acetify    acetify    25
469    acetimeter    acetimeter    17
470    acetone    acetone    62
471    acetose    acetose    11
472    acetosity    acetosity    20
473    acetous    acetous    26
474    acetyl    acetyl    45
475    acetylene    acetylene    52
476    ache    ache    780
477    achievable    achievable    161
478    achievance    achievance    51
479    achieve    achieve    3070
480    achievement    achievement    1794
481    achiever    achiever    136
482    "Achilles' tendon"    "achilles tendon"    0
483    aching    aching    173
484    achlamydeous    achlamydeous    19
485    achor    achor    35
486    achromatic    achromatic    23
487    achromatize    achromatize    15
488    acicular    acicular    62
489    acid    acid    512
490    "acid test"    "acid test"    16
491    acidic    acidic    143
492    acidifiable    acidifiable    19
493    acidification    acidification    29
494    acidify    acidify    23
495    acidimeter    acidimeter    14
496    acidity    acidity    78
497    acidness    acidness    19
498    acidosis    acidosis    85
499    acid-proof    acidproof    14
500    acidulae    acidulae    15
501    acidulate    acidulate    19
502    acidulous    acidulous    21
503    acinus    acinus    21
504    "ack ack"    "ack ack"    24
505    acknowledge    acknowledge    1565
506    acknowledging    acknowledging    108
507    acknowledgment    acknowledgment    347
508    aclinic    aclinic    22
509    acme    acme    66
510    acne    acne    0
511    acolothist    acolothist    23
512    acolyte    acolyte    65
513    aconite    aconite    23
514    aconitine    aconitine    54
515    acorn    acorn    407
516    acorned    acorned    27
517    acotyledon    acotyledon    14
518    acoustic    acoustic    302
519    acoustics    acoustics    92
520    acquaint    acquaint    199
521    acquaintance    acquaintance    563
522    acquaintanceship    acquaintanceship    37
523    acquainted    acquainted    276
524    acquest    acquest    16
525    acquiesce    acquiesce    133
526    acquiescence    acquiescence    62
527    acquiescent    acquiescent    39
528    acquirable    acquirable    30
529    acquire    acquire    947
530    acquired    acquired    329
531    acquirement    acquirement    36
532    acquirer    acquirer    68
533    acquiring    acquiring    69
534    acquisitive    acquisitive    31
535    acquisitively    acquisitively    15
536    acquisitiveness    acquisitiveness    25
537    acquit    acquit    211
538    acquitment    acquitment    26
539    acquittal    acquittal    118
540    acquittance    acquittance    26
541    acre    acre    786
542    acreage    acreage    75
543    acred    acred    13
544    acreditation    acreditation    33
545    acredited    acredited    40
546    acrid    acrid    87
547    acridity    acridity    8
548    acridness    acridness    11
549    acrimonious    acrimonious    63
550    acrimoniously    acrimoniously    18
551    acrimoniousness    acrimoniousness    7
552    acrimony    acrimony    35
553    acritical    acritical    7
554    acritude    acritude    9
555    acroatic    acroatic    13
556    acrobat    acrobat    143
557    acrobatic    acrobatic    76
558    acrobatics    acrobatics    79
559    acrocephalic    acrocephalic    12
560    acrocephalous    acrocephalous    13
561    acrogen    acrogen    12
562    acrogenous    acrogenous    14
563    acromegalia    acromegalia    55
564    acromegaly    acromegaly    18
565    acromion    acromion    54
566    acronycal    acronycal    14
567    acronycally    acronycally    17
568    acronym    acronym    328
569    acropired    acropired    19
570    acropolis    acropolis    0
571    across    across    3761
572    across-the-board    acrosstheboard    55
573    acrostic    acrostic    88
574    acroter    acroter    12
575    acrylic    acrylic    266
576    act    act    4658
577    actina    actina    64
578    acting    acting    1543
579    actinia    actinia    107
580    "actinic or actinical"    "actinic or actinical"    17
581    actinism    actinism    16
582    action    action    2586
583    actionable    actionable    50
584    actionably    actionably    24
585    actionary    actionary    21
586    actionist    actionist    11
587    action-taking    actiontaking    49
588    actitation    actitation    22
589    activate    activate    324
590    activator    activator    53
591    "active list"    "active list"    21
592    actively    actively    225
593    activeness    activeness    37
594    activism    activism    175
595    activist    activist    510
596    activity    activity    2401
597    actor    actor    2679
598    actress    actress    1696
599    actual    actual    1974
600    actuality    actuality    139
601    actualization    actualization    68
602    actualize    actualize    77
603    actually    actually    2264
604    actualness    actualness    17
605    actuarial    actuarial    127
606    actuarian    actuarian    22
607    actuary    actuary    105
608    actuate    actuate    58
609    actuation    actuation    82
610    acuity    acuity    120
611    aculeate    aculeate    20
612    acumen    acumen    150
613    acuminate    acuminate    27
614    acuminated    acuminated    30
615    acumination    acumination    16
616    acupuncture    acupuncture    181
617    acute    acute    528
618    acutely    acutely    52
619    acuteness    acuteness    0
620    acyclic    acyclic    13
621    -ad    ad    3
622    "ad valorem"    "ad valorem"    18
623    adage    adage    111
624    adagial    adagial    45
625    adagio    adagio    218
626    Adam    adam    406
627    "Adam's apple"    "adams apple"    0
628    adamant    adamant    283
629    adamantean    adamantean    7
630    adamantine    adamantine    42
631    adapt    adapt    681
632    adaptability    adaptability    26
633    adaptable    adaptable    207
634    adaptation    adaptation    180
635    adapter    adapter    154
636    adaption    adaption    67
637    adaptive    adaptive    146
638    adaptor    adaptor    102
639    adays    adays    33
640    add    add    6305
641    addend    addend    54
642    addendum    addendum    311
643    adder    adder    51
644    "adder's grass"    "adders grass"    0
645    "adder's tongue"    "adders tongue"    0
646    addibility    addibility    28
647    addible    addible    25
648    addict    addict    501
649    addicted    addicted    652
650    addictedness    addictedness    24
651    addiction    addiction    697
652    "adding machine"    "adding machine"    50
653    addition    addition    2323
654    additional    additional    921
655    additionally    additionally    1102
656    additive    additive    145
657    additory    additory    26
658    addle    addle    35
659    addle-pated    addlepated    26
660    address    address    8271
661    addressee    addressee    198
662    addresser    addresser    69
663    "addressing machine"    "addressing machine"    50
664    adduce    adduce    54
665    adducent    adducent    25
666    adducible    adducible    28
667    adduct    adduct    38
668    adduction    adduction    38
669    adductive    adductive    20
670    adductor    adductor    34
671    addulce    addulce    25
672    adelphous    adelphous    19
673    ademption    ademption    34
674    adenitis    adenitis    74
675    adenography    adenography    17
676    adenoid    adenoid    96
677    adept    adept    162
678    adequacy    adequacy    126
679    adequate    adequate    526
680    adequately    adequately    128
681    adequateness    adequateness    24
682    adhere    adhere    463
683    adherence    adherence    183
684    adherency    adherency    19
685    adherent    adherent    50
686    adherently    adherently    12
687    adherer    adherer    32
688    adhesion    adhesion    321
689    adhesive    adhesive    186
690    adhesively    adhesively    10
691    adhesiveness    adhesiveness    21
692    adiabatic    adiabatic    49
693    adipocere    adipocere    19
694    adipose    adipose    41
695    adiposity    adiposity    20
696    adit    adit    53
697    adjacency    adjacency    31
698    adjacent    adjacent    0
699    adjection    adjection    14
700    adjectival    adjectival    46
701    adjective    adjective    975
702    adjectively    adjectively    14
703    adjoin    adjoin    49
704    adjoining    adjoining    73
705    adjourn    adjourn    242
706    adjournment    adjournment    91
707    adjudge    adjudge    70
708    adjudgment    adjudgment    14
709    adjudicate    adjudicate    132
710    adjudication    adjudication    132
711    adjunct    adjunct    102
712    adjunction    adjunction    10
713    adjunctive    adjunctive    20
714    adjunctly    adjunctly    14
715    adjuntively    adjuntively    6
716    adjuration    adjuration    23
717    adjure    adjure    73
718    adjurer    adjurer    12
719    adjust    adjust    1112
720    adjuster    adjuster    234
721    adjustment    adjustment    450
722    adjustor    adjustor    59
723    adjutancy    adjutancy    17
724    adjutant    adjutant    50
725    adjuvant    adjuvant    42
726    ad-lib    adlib    7
727    adman    adman    20
728    admeasurement    admeasurement    21
729    admensuration    admensuration    14
730    administer    administer    373
731    administerial    administerial    26
732    administrable    administrable    22
733    administrant    administrant    15
734    administrate    administrate    70
735    administration    administration    603
736    administrative    administrative    357
737    administratorship    administratorship    21
738    administratrix    administratrix    25
739    admirability    admirability    19
740    admirable    admirable    545
741    admirableness    admirableness    35
742    admirably    admirably    25
743    admiral    admiral    167
744    admiralship    admiralship    21
745    admiralty    admiralty    35
746    admiration    admiration    226
747    admire    admire    1207
748    admirer    admirer    235
749    admiringly    admiringly    24
750    admissibility    admissibility    39
751    admissible    admissible    57
752    admission    admission    664
753    admissive    admissive    20
