id    source    dictionary_es_id    reason_code
231    quando    66865    misspelling
233    ablar    35516    misspelling
234    segir    58392    misspelling
235    amables    4685    heuristic
236    entremeses    28651    heuristic
237    "las noticias"    45420    heuristic
238    metir    43647    misspelling
239    "tener razon"    108987    misspelling
240    compar    15235    misspelling
241    algunas    5358    heuristic
242    sirvir    57969    misspelling
243    "los guisantes"    35376    heuristic
244    "los padres"    108949    heuristic
245    "el gusto es mio"    109031    misspelling
246    pueder    50163    misspelling
248    varones    64525    heuristic
250    "una carta"    19079    heuristic
251    sevir    57969    misspelling
252    "las uvas"    63180    heuristic
253    dolares    21771    misspelling
254    paisajes    47295    heuristic
256    vendir    64239    misspelling
257    "los deportes"    25380    heuristic
259    prefirir    50957    misspelling
260    "tiene que"    108869    heuristic
261    lejo    40888    misspelling
262    encanta    27370    heuristic
263    "ganas de"    108915    heuristic
264    asistar    1397    misspelling
265    habichuelas    35481    heuristic
266    pide    48431    heuristic
267    recojer    55184    misspelling
268    platanos    49833    misspelling
269    bosques    9716    heuristic
270    "ojala que"    46437    misspelling
271    peatones    48315    heuristic
272    eschuchar    29651    misspelling
273    amantes    4619    heuristic
274    aser    35540    misspelling
275    "el ano pasado"    109022    misspelling
276    parace    47825    misspelling
278    "a cabo"    108882    heuristic
279    consiguir    14510    misspelling
280    "un beso"    10567    heuristic
281    demonstrar    25519    misspelling
282    wey    109305    misspelling
283    tacones    59589    heuristic
285    aviones    299    heuristic
287    estadounidenses    30361    heuristic
288    qual    66861    misspelling
289    semillas    58247    heuristic
290    "las afueras"    6734    heuristic
291    "¿por qué"    50431    heuristic
292    "los camarones"    20307    heuristic
294    "a donde"    65589    misspelling
295    vovler    63274    misspelling
296    llega    41527    heuristic
297    sintio    58139    heuristic
298    "el jardin"    39723    misspelling
299    "los huevos"    36872    heuristic
300    arrepentirse    1921    heuristic
301    cosina    16066    misspelling
302    subrir    56632    misspelling
303    porque    50476    heuristic
304    mejillones    43418    heuristic
305    "con tal que"    108925    heuristic
306    comunes    15563    heuristic
307    voler    63333    misspelling
308    sabados    59424    misspelling
309    porfavor    108816    misspelling
310    llovar    41558    misspelling
311    hola    98745    heuristic
312    "que tal"    108790    misspelling
313    bebir    10798    misspelling
314    "las manos"    42737    heuristic
315    "el pais"    47204    misspelling
316    camiones    20218    heuristic
317    "la sala de espera"    109033    heuristic
318    monstrar    44924    misspelling
319    pasajes    47991    heuristic
320    entendar    28491    misspelling
321    "la carne de res"    109063    heuristic
322    trear    61499    misspelling
323    escojer    29485    misspelling
324    "de ida y vuelta"    109375    heuristic
325    "el medico"    41924    misspelling
326    "las fresas"    31877    heuristic
327    toallas    61002    heuristic
328    encuentra    27625    heuristic
329    econtrar    27625    misspelling
330    "el dia"    26191    misspelling
331    holla    46533    misspelling
332    "¿qué tiempo hace"    109211    heuristic
333    enojarse    28243    heuristic
334    dad    47624    heuristic
335    verse    64100    heuristic
336    todos    61043    heuristic
337    hay    35702    heuristic
338    pizzara    49819    misspelling
339    mitica    41950    misspelling
340    salie    59065    misspelling
341    peder    48852    misspelling
342    vivr    63388    misspelling
343    venit    64183    misspelling
344    pider    50163    misspelling
345    mostar    44924    misspelling
346    morrir    44802    misspelling
348    leventarse    41026    misspelling
349    juegar    39978    misspelling
350    estat    30432    misspelling
351    empazar    27092    misspelling
352    divirtirse    21895    misspelling
353    apprender    2738    misspelling
354    "las tijeras"    107322    heuristic
355    "el otono"    47032    heuristic
356    "la natacion"    45923    heuristic
357    "el lapiz"    40152    heuristic
358    gafas    33535    heuristic
359    calacas    109482    heuristic
360    "el boligrafo"    9967    heuristic
361    "la hoja de papel"    109512    heuristic
362    "de la manana"    109517    heuristic
363    "que hay"    109522    heuristic
365    "el traje de bano"    109186    heuristic
366    "traje de bano"    109186    heuristic
367    "gana un premio"    109526    heuristic
368    "la sala de clases"    109532    heuristic
369    "sala de clases"    109532    heuristic
370    "sala de clase"    109532    heuristic
371    "salón de clases"    109532    heuristic
372    josé    99908    heuristic
373    jose    99908    heuristic
374    "redes sociales"    109534    heuristic
375    "cual es la fecha"    109422    heuristic
377    cascarones    18973    heuristic
378    "hacerle caso"    109291    heuristic
379    hara    35540    heuristic
380    "los alumnos"    4735    heuristic
381    "la estacion"    30343    heuristic
382    "los fines"    32615    heuristic
383    "las joyas"    39914    heuristic
384    "los labios"    40211    heuristic
385    lecciones    40773    heuristic
386    llego    41527    heuristic
387    presentaciones    51132    heuristic
388    que?    104537    heuristic
389    "nosotros somos"    58089    heuristic
390    "las velas"    64322    heuristic
391    veo    64100    heuristic
392    zapatos    65171    heuristic
393    malos    42440    heuristic
394    assistir    1397    misspelling
395    concocer    14557    misspelling
396    constuir    14361    misspelling
397    divirtir    21895    misspelling
398    leventar    41026    misspelling
399    lavantarse    41026    misspelling
400    olividar    46555    misspelling
401    preperar    51074    misspelling
402    aparacer    3154    misspelling
403    concinar    16065    misspelling
404    descubir    24301    misspelling
405    dormit    21643    heuristic
406    salit    59065    misspelling
407    siguir    58392    misspelling
408    vistir    63874    misspelling
409    aquilar    4871    misspelling
410    volvar    63274    misspelling
411    "tan como"    59803    heuristic
412    ha    35480    heuristic
413    covertirse    13815    misspelling
414    covertir    13815    misspelling
415    hacerse    35540    heuristic
416    debo    26003    heuristic
417    divertida    21897    heuristic
418    suele    57090    heuristic
419    unas    62927    heuristic
420    sé    59326    heuristic
421    piernas    49484    heuristic
422    enferma    27850    heuristic
423    aburrirse    8341    heuristic
424    velas    64322    heuristic
425    pone    50376    heuristic
426    llena    41534    heuristic
427    propia    51700    heuristic
428    flores    32405    heuristic
429    "darse cuenta de"    109023    heuristic
430    segura    58373    heuristic
431    todas    61043    heuristic
432    fuimos    37186    heuristic
433    traduction    61490    misspelling
434    "le gusta"    35448    heuristic
435    santa    58772    heuristic
436    profesora    51523    heuristic
437    di    26049    heuristic
438    sandia    58872    misspelling
439    enseña    28392    heuristic
